host,time,readable_time,Abs-Humidity-ACT,Abs-Humidity-MAX,Abs-Humidity-MIN,Abs-Humidity-SET,Fan-Circ-ACT,Fan-Circ-MAX,Fan-Circ-MIN,Fan-Circ-SET,Fan-Exhaust-ACT,Fan-Exhaust-MAX,Fan-Exhaust-MIN,Fan-Exhaust-SET,Pressure-ACT,Pressure-MAX,Pressure-MIN,Pressure-SET,Rel-Humidity-ACT,Rel-Humidity-MAX,Rel-Humidity-MIN,Rel-Humidity-SET,STATUS,Temperature-ACT,Temperature-MAX,Temperature-MIN,Temperature-SET
,1584430408000,2020-03-17T15:33:28Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.209999,85,-45,25
,1584430418000,2020-03-17T15:33:38Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430424000,2020-03-17T15:33:44Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430429000,2020-03-17T15:33:49Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430434000,2020-03-17T15:33:54Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430439000,2020-03-17T15:33:59Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430454000,2020-03-17T15:34:14Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430465000,2020-03-17T15:34:25Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430470000,2020-03-17T15:34:30Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.18,85,-45,25
,1584430480000,2020-03-17T15:34:40Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430485000,2020-03-17T15:34:45Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.17,85,-45,25
,1584430490000,2020-03-17T15:34:50Z,4.074221,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.200001,85,-45,25
,1584430496000,2020-03-17T15:34:56Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.209999,85,-45,25
,1584430501000,2020-03-17T15:35:01Z,4.05591,20,-20,0,0,120,0,100,0,120,0,50,0,100,0,0,0,95,0,20,1,24.16,85,-45,25
